abs time (s),Fx,Fy,Fz,|Ft|,Ax,Ay,COM px,COM py,COM pz,Fx,Fy,Fz,|Ft|,Ax,Ay,COM px,COM py,COM pz
,N,N,N,N,m,m,N s,N s,N s,N,N,N,N,m,m,N s,N s,N s
0.011667,0.159629,-0.059301,-1.242300,1.253917,0.000000,0.000000,-0.000546,0.000624,-0.009750,-0.237626,0.296733,1.162371,1.222956,-0.196942,-0.012067,0.001764,-0.001710,0.017243
0.012083,-0.282465,-0.099986,-1.874299,1.898099,0.000000,0.000000,-0.000478,0.000654,-0.010333,-0.037810,0.176184,0.533956,0.563541,-0.943703,0.192433,0.001777,-0.001794,0.017575
0.012500,-0.001265,0.020924,0.335001,0.335657,-0.714794,-0.203689,-0.000481,0.000654,-0.010435,0.202360,0.216339,1.476500,1.505923,-0.170607,0.067795,0.001746,-0.001865,0.017993
0.012917,0.320206,0.020541,-0.928996,0.982846,0.000000,0.000000,-0.000583,0.000648,-0.010712,-0.317704,-0.024632,-0.417401,0.525135,0.000000,0.000000,0.001820,-0.001882,0.018071
0.013333,0.199646,-0.019634,-0.610302,0.642427,0.000000,0.000000,-0.000686,0.000659,-0.011011,0.002418,0.135945,1.319860,1.326844,-0.158570,0.036602,0.001841,-0.001928,0.018457
0.013750,0.360286,-0.099986,-0.928016,1.000509,0.000000,0.000000,-0.000797,0.000692,-0.011299,0.002481,0.136072,0.689791,0.703088,-0.301582,-0.087215,0.001854,-0.001982,0.018755
0.014167,-0.041409,-0.060065,0.175410,0.189976,-0.028692,-1.943510,-0.000824,0.000726,-0.011335,-0.197525,0.095833,0.223240,0.313107,-1.626564,-2.482113,0.001911,-0.002022,0.018935
0.014583,0.199710,-0.140544,-0.294057,0.382238,0.000000,0.000000,-0.000880,0.000751,-0.011502,-0.037747,0.055593,0.998216,1.000475,0.059066,0.385981,0.001955,-0.002059,0.019363
0.015000,0.038816,0.261979,-1.400422,1.425244,0.000000,0.000000,-0.000888,0.000689,-0.012008,-0.277539,0.216297,1.948110,1.979632,-0.065904,0.079179,0.002043,-0.002124,0.019977
0.015417,-0.242320,-0.019634,-1.401892,1.422816,0.000000,0.000000,-0.000831,0.000686,-0.012505,-0.117636,0.015481,0.058275,0.132189,-1.186858,-0.911003,0.002092,-0.002139,0.020078
0.015833,0.119294,-0.140417,-0.137895,0.230137,0.000000,0.000000,-0.000853,0.000728,-0.012749,0.042456,-0.064871,-0.730872,0.734973,0.000000,0.000000,0.002102,-0.002120,0.019905
0.016250,0.079087,-0.019507,-1.560994,1.563118,0.000000,0.000000,-0.000900,0.000744,-0.013278,-0.197588,-0.024759,0.372071,0.422008,-0.173888,0.159660,0.002165,-0.002115,0.019918
0.016667,0.239727,-0.019380,-1.243770,1.266810,0.000000,0.000000,-0.000986,0.000755,-0.013786,-0.157612,0.095875,-0.568022,0.597229,0.000000,0.000000,0.002236,-0.002158,0.019714
0.017083,0.199519,-0.059556,-0.769403,0.797080,0.000000,0.000000,-0.001055,0.000783,-0.014194,-0.197651,0.256494,-1.042251,1.091395,0.000000,0.000000,0.002310,-0.002257,0.019367
0.017500,-0.041473,-0.140162,-1.557075,1.563920,0.000000,0.000000,-0.001052,0.000827,-0.014755,-0.117636,0.296648,-0.253242,0.407394,0.000000,0.000000,0.002359,-0.002352,0.019141
