Timestamp,Right_Knee_Angle,Left_Knee_Angle,Right_Hip_Angle,Left_Hip_Angle,Right_Ankle_Angle,Left_Ankle_Angle
3166.666667,61.95778097,18.80136692,154.477196,152.7180436,57.4472376,28.19326071
3200,41.86443763,40.88292942,157.7573226,160.1297461,33.1345284,56.4665043
3233.333333,41.07601046,11.97681794,151.8558538,163.8782839,31.69627783,22.29740948
3266.666667,92.31778542,36.93170233,143.3079632,164.4228432,84.43467297,34.39219708
3300,20.53533335,33.28715281,131.083427,178.9306811,19.05367513,41.79088356
3333.333333,62.65351723,77.60751073,132.006113,168.1195378,66.80263363,91.98169844
3366.666667,111.3772911,79.16874001,139.3820797,172.611108,106.9740289,84.03081972
3400,148.6920732,141.9821254,142.6041349,169.2737124,137.2535975,143.2105561
3433.333333,127.7327753,120.6185856,112.5067776,135.8542512,146.6551828,152.1078097
3466.666667,138.4723525,109.2868543,132.1183636,114.4558833,146.2042026,155.1986566
3500,159.8887859,117.6811567,158.061047,120.6311096,148.3888561,150.7922343
3533.333333,153.7245508,113.5852087,148.9785052,113.3147953,146.5294679,144.0503388
3566.666667,109.1613109,99.30612268,110.6015793,100.4132861,138.8513104,143.6058439
3600,79.21377424,93.96713616,88.94137726,95.48407701,123.8860263,141.5785162
3633.333333,78.36831352,94.13393235,90.37180587,96.28141838,128.9149451,137.7169201
3666.666667,83.12979629,95.6768233,89.16807314,96.71851682,132.3691639,140.2726135
3700,80.34751053,95.09662032,82.43197743,95.13492074,122.6560177,139.2581559
3733.333333,78.50348789,96.67794415,77.18500546,95.3392364,117.8989443,136.6608756
3766.666667,77.68126993,94.6999888,72.77711966,93.29344037,125.7104659,136.2664387
3800,82.06541078,95.31792212,75.22363521,94.40594768,126.1523306,134.4419818
3833.333333,84.9716329,96.27867301,77.69405856,95.37397363,130.2651555,134.9083311
3866.666667,87.9121454,96.91919291,80.031273,95.77334133,132.2539782,134.354254
3900,87.28814903,98.46766074,81.89562863,97.45702032,127.5092404,135.1671856
3933.333333,89.2715268,99.35116502,82.46028839,98.45652072,127.9539339,135.798565
3966.666667,90.67097595,100.2509601,83.92130217,99.75190934,130.2689812,135.4408044
4000,91.49110485,101.413178,84.73744702,101.3368053,128.6653136,135.8410111
4033.333333,92.17127921,102.6184783,85.7950842,103.3672958,131.962997,135.5978963
4066.666667,93.22341163,103.2971895,86.95727487,104.7145557,131.3713749,135.7217307
4100,93.39741156,103.975057,87.26828068,105.6092088,129.235352,136.0761503
4133.333333,93.64703391,103.8922609,86.87576069,105.7291257,128.5776776,135.8934284
4166.666667,93.63338822,104.4166422,86.67510582,106.1634092,129.7579436,135.5318451
4200,94.19174187,105.0989083,87.18587863,106.7857712,130.3994369,135.4243416
4233.333333,93.51939819,105.1206801,87.51013962,106.9367265,132.0162024,134.8668004
4266.666667,94.77995358,104.9611054,87.90634378,106.952595,132.8098818,134.8766152
4300,94.60746761,104.7968397,87.94232043,106.954262,133.1702382,134.4246521
4333.333333,94.46876232,104.6510857,88.1693039,107.0803806,133.6487517,133.7771568
4366.666667,94.41442158,104.6865974,88.13456046,107.0497016,133.8522689,133.5813938
4400,94.4527476,104.7445345,88.41048419,107.1367843,133.7284949,133.4041307
4433.333333,94.67518277,104.8784287,89.18339335,107.3547889,133.4964723,132.9800141
4466.666667,94.91429597,104.8146227,89.76641865,107.4679099,133.0788987,132.9507343
4500,94.69239968,104.4233567,90.80531278,107.2839588,132.3421111,132.9069619
4533.333333,92.95141128,104.2032566,91.05223567,107.2811773,131.2538686,132.90559
4566.666667,92.77835716,103.5284722,91.15956091,106.8465361,130.9557127,133.211379
4600,92.2540978,103.0542333,90.95793329,106.63941,130.5769583,133.2035008
4633.333333,91.61085456,102.6929154,90.60605686,106.4646498,130.7429972,133.7714768
4666.666667,91.89684386,102.4950673,90.69596734,106.3408902,129.7778895,134.1887544
4700,91.98878224,102.4038026,90.74340011,106.2976726,130.1654358,134.4270377
4733.333333,91.24279542,102.1877537,90.83590679,106.1118322,131.1812614,134.7499683
4766.666667,90.29974698,101.8956493,91.27478511,105.8880845,131.3366678,134.8411129
4800,90.15206856,101.7037627,91.60506193,105.7228427,131.3881341,134.8248242
4833.333333,83.48714407,101.4911864,92.16179555,105.5291187,127.952081,134.8566329
4866.666667,84.87657158,101.3118288,92.24210239,105.3642252,127.5268631,134.813548
4900,81.12786232,100.8849728,92.28786579,105.0556512,126.4822117,134.739606
4933.333333,80.8968402,100.6829517,92.09280406,104.8439919,125.8718418,134.6288934
4966.666667,85.06613662,100.4733947,92.19427918,104.6774655,145.5746756,134.4760444
5000,89.10617157,100.3468337,91.24028146,104.5451255,146.0067038,134.9320748
5033.333333,90.35078547,100.5010537,90.58718939,104.5367315,140.4894286,135.0337126
5066.666667,90.87630117,100.5459421,89.79993151,104.4622512,133.9613927,134.8331897
5100,90.98229034,100.5781172,89.94068745,104.3895337,135.50815,134.7081348
5133.333333,90.86298776,100.6690375,89.85613132,104.3361026,139.5032864,134.7036781
5166.666667,81.33135057,101.1464425,89.31049673,104.2830324,129.069009,135.012402
5200,77.22555045,101.4587595,88.93044395,104.2162097,125.4454931,135.4120574
5233.333333,73.78566068,101.2226926,89.71858994,103.8219522,123.2479175,135.2905451
5266.666667,74.02633864,101.0018985,88.84252147,103.3893779,123.5455915,135.1443701
5300,74.96185322,100.9152339,87.73187664,103.084867,124.2605963,134.8406451
5333.333333,76.5209501,101.1293835,87.30186738,102.9322623,127.6717826,134.8767765
5366.666667,87.35653293,101.0605484,87.08979384,102.6663115,149.465505,134.8503428
5400,86.82109516,101.244227,87.06419786,102.5547939,139.8541795,134.828381
5433.333333,91.55660027,101.1372535,86.72174542,102.2722291,137.8726471,134.8104142
5466.666667,93.48666408,101.1796042,86.80521093,102.2622107,143.4308358,134.3708085
5500,91.14922445,101.1137753,86.67160516,102.1640209,139.8398944,133.9077748
5533.333333,85.13875908,101.1148286,86.68165192,102.1354588,131.4660454,133.8034904
5566.666667,83.51043134,101.1584232,86.67940147,102.216292,130.1729615,133.691652
5600,90.42887477,101.349349,86.76595865,102.3914276,148.0050245,133.6205474
5633.333333,92.32308712,101.6946799,86.97784687,102.7894426,154.1306433,133.5606301
5666.666667,92.91546195,101.813495,87.01716461,102.8813463,156.0702061,133.5126222
